"date"	"matchup"	"team"	"min"	"tpm"	"tpa"	"oreb"	"dreb"	"ast"	"stl"	"blk"	"to"	"pf"	"pts"	"HA"
20090112	"TOR@BOS"	"TOR"	265	9	22	6	31	20	5	2	11	23	109	-1
20060222	"MIL@CHI"	"CHI"	240	7	20	11	40	26	4	8	15	19	97	1
20180113	"BRK@WAS"	"WAS"	265	10	23	6	41	31	10	3	15	19	119	1
20181203	"CLE@BRK"	"BRK"	240	10	40	17	33	17	5	2	7	20	97	1
20160110	"CHA@DEN"	"CHA"	240	12	36	9	31	24	6	4	12	18	92	-1
20131030	"OKC@UTZ"	"UTZ"	240	6	22	10	34	25	6	5	22	28	98	1
20210122	"DAL@SAS"	"DAL"	240	14	39	7	35	23	3	2	5	21	122	-1
20080415	"SAC@LAL"	"SAC"	240	8	13	10	31	22	9	4	19	25	101	-1
20110122	"IND@POR"	"POR"	240	10	20	11	28	29	8	3	14	15	97	1
20191204	"PHX@ORL"	"PHX"	240	15	33	8	21	36	10	0	13	20	114	-1
20140316	"PHX@TOR"	"TOR"	240	7	23	4	22	27	12	3	11	27	113	1
20041228	"CLE@ATL"	"CLE"	240	5	9	13	25	19	10	4	13	23	111	-1
20181117	"PHI@CHA"	"PHI"	265	11	35	9	44	23	9	6	19	24	122	-1
20110202	"PHI@BRK"	"BRK"	240	3	10	10	28	16	4	6	12	15	92	1
20051107	"CLE@TOR"	"TOR"	240	1	8	9	21	21	8	4	10	20	93	1
20210407	"WAS@ORL"	"WAS"	240	19	36	5	32	35	7	3	13	18	131	-1
20180222	"NYK@ORL"	"ORL"	240	11	24	5	34	28	7	5	13	15	113	1
20100113	"MIL@POR"	"POR"	240	8	19	5	26	25	5	8	11	23	120	1
20060212	"ATL@SAC"	"SAC"	240	4	16	11	35	27	10	4	17	20	109	1
20180205	"CHA@DEN"	"CHA"	240	11	26	5	31	21	7	1	10	16	104	-1
20051214	"LAC@NOP"	"LAC"	240	2	7	6	31	8	7	4	16	24	89	-1
20171105	"PHX@SAS"	"SAS"	240	11	22	8	35	21	9	4	9	19	112	1
20100210	"LAL@UTZ"	"LAL"	240	5	13	9	34	19	9	7	17	22	96	-1
20110402	"MIN@MEM"	"MEM"	240	5	12	17	27	23	17	3	17	19	106	1
20120426	"POR@UTZ"	"UTZ"	240	6	19	13	35	15	10	8	12	18	96	1
