"date"	"matchup"	"team"	"min"	"tpm"	"tpa"	"oreb"	"dreb"	"ast"	"stl"	"blk"	"to"	"pf"	"pts"	"HA"
20041106	"MIA@WAS"	"WAS"	240	7	27	10	28	19	9	3	15	33	106	1
20041106	"PHI@DET"	"PHI"	240	4	12	11	30	13	12	3	11	24	91	-1
20041106	"PHI@DET"	"DET"	240	9	20	11	39	24	7	13	15	27	99	1
20041106	"BOS@NYK"	"BOS"	240	6	11	10	35	27	10	6	11	23	107	-1
20041106	"BOS@NYK"	"NYK"	240	3	10	9	22	16	4	8	19	22	73	1
20041106	"PHX@BRK"	"PHX"	240	7	14	11	31	21	9	7	15	23	112	-1
20041106	"PHX@BRK"	"BRK"	240	3	10	14	20	13	10	3	12	22	80	1
20041106	"CHI@IND"	"CHI"	240	5	18	15	22	21	11	4	23	31	90	-1
20041106	"CHI@IND"	"IND"	240	11	23	9	26	21	13	5	26	24	100	1
20041106	"NOP@MIN"	"NOP"	240	7	18	8	23	27	4	3	10	20	92	-1
20041106	"NOP@MIN"	"MIN"	240	5	16	13	31	20	4	3	11	24	99	1
20041106	"MEM@DAL"	"MEM"	240	3	8	14	22	21	10	6	17	30	88	-1
20041106	"MEM@DAL"	"DAL"	240	6	16	16	37	16	11	9	20	22	112	1
20041106	"SAC@HOU"	"SAC"	265	5	15	18	36	23	4	4	9	21	101	-1
20041106	"SAC@HOU"	"HOU"	265	11	29	11	33	24	7	5	9	24	104	1
20041106	"CLE@MIL"	"CLE"	240	0	7	12	25	20	11	5	15	29	88	-1
20041106	"CLE@MIL"	"MIL"	240	2	7	17	34	20	4	6	20	31	102	1
20041106	"UTZ@DEN"	"UTZ"	240	4	8	15	29	32	6	8	11	25	106	-1
20041106	"UTZ@DEN"	"DEN"	240	1	8	16	23	20	6	8	14	26	82	1
20041106	"LAC@GSW"	"LAC"	240	2	3	8	37	20	7	7	20	35	94	-1
20041106	"LAC@GSW"	"GSW"	240	1	15	21	26	18	8	7	12	34	86	1
20041107	"POR@TOR"	"POR"	240	6	16	16	34	15	4	7	16	20	97	-1
20041107	"POR@TOR"	"TOR"	240	8	16	12	30	22	10	2	9	20	101	1
20041107	"SAS@OKC"	"SAS"	240	6	18	15	17	17	6	7	20	29	94	-1
20041107	"SAS@OKC"	"OKC"	240	6	13	14	22	15	9	6	12	25	113	1
20041107	"ATL@LAL"	"ATL"	240	4	18	12	19	24	12	4	11	24	90	-1
