"season"	"date"	"regsea"	"VTabbr"	"VT"	"HTabbr"	"HT"	"HTTZ"	"min"	"pace"	"refs"	"VTscore"	"HTscore"
"2016"	20160715	TRUE	"LAS"	"Los Angeles Sparks"	"CON"	"Connecticut Sun"	3	225	90.9	"Tony Dawkins, Eric Brewton, Fatou Cissoko-Stephens"	98	92
"2016"	20160715	TRUE	"ATL"	"Atlanta Dream"	"IND"	"Indiana Fever"	3	200	87.4	"Tiffany Bird, Michael Price, Janetta Graham"	72	78
"2016"	20160715	TRUE	"NYL"	"New York Liberty"	"MIN"	"Minnesota Lynx"	2	200	86.8	"Billy Smith, Byron Jarrett, Amy Bonner"	70	88
"2016"	20160715	TRUE	"WAS"	"Washington Mystics"	"SEA"	"Seattle Storm"	0	200	83.5	"Maj Forsberg, Tommy Nunez, Tiara Cruse"	51	80
"2016"	20160716	TRUE	"SAS"	"San Antonio Stars"	"PHO"	"Phoenix Mercury"	1	200	86.1	"Kevin Sparrock, Tiara Cruse, Kurt Walker"	64	83
"2016"	20160717	TRUE	"LAS"	"Los Angeles Sparks"	"ATL"	"Atlanta Dream"	3	200	94.5	"Byron Jarrett, Tim Greene, Amy Bonner"	74	91
"2016"	20160717	TRUE	"MIN"	"Minnesota Lynx"	"DAL"	"Dallas Wings"	2	225	96.1	"Daryl Humphrey, Michael Price, Billy Smith"	98	97
"2016"	20160717	TRUE	"CON"	"Connecticut Sun"	"NYL"	"New York Liberty"	3	200	95.5	"Don Hudson, Jeff Wooten, Sue Blauch"	76	83
"2016"	20160717	TRUE	"CHI"	"Chicago Sky"	"SEA"	"Seattle Storm"	0	200	94.5	"Roy Gulbeyan, Natalie Sago, Tiffany Bird"	91	88
"2016"	20160719	TRUE	"LAS"	"Los Angeles Sparks"	"IND"	"Indiana Fever"	3	200	84.7	"Jeffrey Smith, Sue Blauch, Maj Forsberg"	82	92
"2016"	20160719	TRUE	"CHI"	"Chicago Sky"	"PHO"	"Phoenix Mercury"	1	200	93	"Billy Smith, Isaac Barnett, Tommy Nunez"	79	77
"2016"	20160720	TRUE	"CON"	"Connecticut Sun"	"DAL"	"Dallas Wings"	2	200	92.4	"Aaron Smith, Amy Bonner, Byron Jarrett"	89	78
"2016"	20160720	TRUE	"ATL"	"Atlanta Dream"	"MIN"	"Minnesota Lynx"	2	200	89.8	"Kevin Sparrock, Kurt Walker, Tim Greene"	65	83
"2016"	20160720	TRUE	"SAS"	"San Antonio Stars"	"SEA"	"Seattle Storm"	0	200	93.8	"Michael Price, Vladimir Voyard-Tadal, Jeff Wooten"	69	83
"2016"	20160720	TRUE	"NYL"	"New York Liberty"	"WAS"	"Washington Mystics"	3	200	90.3	"Roy Gulbeyan, Tony Dawkins, Karleena Tobin"	88	81
"2016"	20160721	TRUE	"IND"	"Indiana Fever"	"NYL"	"New York Liberty"	3	200	87.7	"Eric Brewton, JB DeRosa, Tiara Cruse"	82	70
"2016"	20160722	TRUE	"DAL"	"Dallas Wings"	"ATL"	"Atlanta Dream"	3	200	98.8	"Don Hudson, Maj Forsberg, Roy Gulbeyan"	88	93
"2016"	20160722	TRUE	"CON"	"Connecticut Sun"	"CHI"	"Chicago Sky"	2	200	95.2	"Kurt Walker, JB DeRosa, Tiara Cruse"	94	89
"2016"	20160722	TRUE	"SEA"	"Seattle Storm"	"MIN"	"Minnesota Lynx"	2	200	84.7	"Jeffrey Smith, Sue Blauch, Fatou Cissoko-Stephens"	72	79
"2016"	20160722	TRUE	"LAS"	"Los Angeles Sparks"	"WAS"	"Washington Mystics"	3	199	87.4	"Eric Brewton, Cheryl Flores, Tom Mauer"	95	75
"2016"	20160826	TRUE	"ATL"	"Atlanta Dream"	"CHI"	"Chicago Sky"	2	200	90.1	"Eric Brewton, Tony Dawkins, Janetta Graham"	82	90
"2016"	20160826	TRUE	"MIN"	"Minnesota Lynx"	"CON"	"Connecticut Sun"	3	200	91.7	"Jonathan Sterling, Sue Blauch, Don Hudson"	80	84
"2016"	20160826	TRUE	"DAL"	"Dallas Wings"	"PHO"	"Phoenix Mercury"	1	200	91	"Cheryl Flores, Isaac Barnett, Tommy Nunez"	72	98
"2016"	20160826	TRUE	"NYL"	"New York Liberty"	"SAS"	"San Antonio Stars"	2	200	91	"Tom Mauer, Maj Forsberg, Billy Smith"	84	77
"2016"	20160826	TRUE	"LAS"	"Los Angeles Sparks"	"SEA"	"Seattle Storm"	0	200	95.5	"Tiffany Bird, Byron Jarrett, Kurt Walker"	72	79
"2016"	20160827	TRUE	"WAS"	"Washington Mystics"	"IND"	"Indiana Fever"	3	200	89.2	"Fatou Cissoko-Stephens, Jeffrey Smith, Tim Greene"	92	69
"2016"	20160828	TRUE	"CON"	"Connecticut Sun"	"ATL"	"Atlanta Dream"	3	200	98.2	"Daryl Humphrey, Karleena Tobin, Tim Greene"	73	87
"2016"	20160828	TRUE	"CHI"	"Chicago Sky"	"DAL"	"Dallas Wings"	2	200	96.2	"Tom Mauer, Jeff Wooten, Natalie Sago"	92	85
"2016"	20160828	TRUE	"SEA"	"Seattle Storm"	"MIN"	"Minnesota Lynx"	2	200	92.6	"Tony Dawkins, Tommy Nunez, Amy Bonner"	80	92
"2016"	20160828	TRUE	"LAS"	"Los Angeles Sparks"	"PHO"	"Phoenix Mercury"	1	200	94.4	"Maj Forsberg, Michael Price, Billy Smith"	66	70
"2016"	20160828	TRUE	"SAS"	"San Antonio Stars"	"WAS"	"Washington Mystics"	3	200	94.9	"Katie Lukanich, Kevin Sparrock, Eric Brewton"	85	74
"2016"	20160830	TRUE	"SAS"	"San Antonio Stars"	"CON"	"Connecticut Sun"	3	200	90.9	"Vladimir Voyard-Tadal, Amy Bonner, Natalie Sago"	62	89
"2016"	20160830	TRUE	"PHO"	"Phoenix Mercury"	"IND"	"Indiana Fever"	3	200	92.2	"Sue Blauch, Jonathan Sterling, JB DeRosa"	79	65
"2016"	20160831	TRUE	"DAL"	"Dallas Wings"	"SEA"	"Seattle Storm"	0	200	89.6	"Maj Forsberg, Michael Price, Aaron Smith"	66	78
"2016"	20160901	TRUE	"NYL"	"New York Liberty"	"IND"	"Indiana Fever"	3	200	100.7	"Tiffany Bird, Don Hudson, Byron Jarrett"	77	98
"2016"	20160901	TRUE	"LAS"	"Los Angeles Sparks"	"SAS"	"San Antonio Stars"	2	200	83.2	"Janetta Graham, Tim Greene, Tommy Nunez"	70	61
"2016"	20160902	TRUE	"SEA"	"Seattle Storm"	"CHI"	"Chicago Sky"	2	200	93.9	"Katie Lukanich, Sue Blauch, Tiffany Bird"	88	92
"2016"	20160902	TRUE	"PHO"	"Phoenix Mercury"	"CON"	"Connecticut Sun"	3	200	93.4	"Byron Jarrett, Daryl Humphrey, Tiara Cruse"	74	87
"2016"	20160902	TRUE	"LAS"	"Los Angeles Sparks"	"DAL"	"Dallas Wings"	2	200	96.1	"Jeffrey Smith, Kevin Sparrock, JB DeRosa"	77	79
"2016"	20160902	TRUE	"WAS"	"Washington Mystics"	"MIN"	"Minnesota Lynx"	2	200	85.5	"Aaron Smith, Kurt Walker, Maj Forsberg"	69	75
"2016"	20160903	TRUE	"PHO"	"Phoenix Mercury"	"NYL"	"New York Liberty"	3	200	95.6	"Eric Brewton, Kurt Walker, Tim Greene"	70	92
"2016"	20160904	TRUE	"SEA"	"Seattle Storm"	"ATL"	"Atlanta Dream"	3	200	93.2	"Jonathan Sterling, Jeffrey Smith, Tiara Cruse"	91	82
"2016"	20160904	TRUE	"SAS"	"San Antonio Stars"	"CHI"	"Chicago Sky"	2	200	86.6	"Isaac Barnett, Maj Forsberg, Don Hudson"	73	97
"2016"	20160904	TRUE	"WAS"	"Washington Mystics"	"DAL"	"Dallas Wings"	2	200	96.5	"Tony Dawkins, Byron Jarrett, Billy Smith"	88	83
"2016"	20160904	TRUE	"IND"	"Indiana Fever"	"LAS"	"Los Angeles Sparks"	0	184	81.4	"Sue Blauch, Cheryl Flores, Jeff Wooten"	81	80
"2016"	20160904	TRUE	"CON"	"Connecticut Sun"	"MIN"	"Minnesota Lynx"	2	200	90.5	"JB DeRosa, Tom Mauer, Janetta Graham"	79	93
"2016"	20160906	TRUE	"PHO"	"Phoenix Mercury"	"ATL"	"Atlanta Dream"	3	200	96.2	"Isaac Barnett, Tony Dawkins, Maj Forsberg"	87	91
